threshold,precision,recall,f1,accuracy
0.1,0.3655913978494624,0.2982456140350877,0.3285024154589372,0.9722
0.11,0.37714285714285717,0.2894736842105263,0.32754342431761785,0.9729
0.12000000000000001,0.38823529411764707,0.2894736842105263,0.3316582914572864,0.9734
0.13,0.39634146341463417,0.2850877192982456,0.33163265306122447,0.9738
0.14,0.4012738853503185,0.27631578947368424,0.32727272727272727,0.9741
0.15000000000000002,0.42567567567567566,0.27631578947368424,0.3351063829787234,0.975
0.16,0.43356643356643354,0.2719298245614035,0.33423180592991913,0.9753
0.17,0.4492753623188406,0.2719298245614035,0.33879781420765026,0.9758
0.18,0.4552238805970149,0.2675438596491228,0.3370165745856354,0.976
0.19,0.45038167938931295,0.25877192982456143,0.3286908077994429,0.9759
0.2,0.4609375,0.25877192982456143,0.33146067415730335,0.9762
0.21000000000000002,0.4603174603174603,0.2543859649122807,0.327683615819209,0.9762
0.22,0.4634146341463415,0.25,0.3247863247863248,0.9763
0.23,0.47107438016528924,0.25,0.32664756446991405,0.9765
0.24000000000000002,0.4700854700854701,0.2412280701754386,0.3188405797101449,0.9765
0.25,0.48672566371681414,0.2412280701754386,0.3225806451612903,0.9769
0.26,0.49107142857142855,0.2412280701754386,0.3235294117647059,0.977
0.27,0.5,0.2412280701754386,0.3254437869822485,0.9772
0.28,0.5188679245283019,0.2412280701754386,0.32934131736526945,0.9776
0.29000000000000004,0.5188679245283019,0.2412280701754386,0.32934131736526945,0.9776
0.30000000000000004,0.5288461538461539,0.2412280701754386,0.3313253012048193,0.9778
0.31,0.5339805825242718,0.2412280701754386,0.3323262839879154,0.9779
0.32,0.5445544554455446,0.2412280701754386,0.3343465045592705,0.9781
0.33,0.5612244897959183,0.2412280701754386,0.3374233128834356,0.9784
0.33999999999999997,0.5729166666666666,0.2412280701754386,0.3395061728395062,0.9786
0.35,0.574468085106383,0.23684210526315788,0.33540372670807456,0.9786
0.36,0.5698924731182796,0.2324561403508772,0.3302180685358255,0.9785
0.37,0.5760869565217391,0.2324561403508772,0.33125,0.9786
0.38,0.5888888888888889,0.2324561403508772,0.3333333333333333,0.9788
0.39,0.5955056179775281,0.2324561403508772,0.334384858044164,0.9789
0.4,0.5955056179775281,0.2324561403508772,0.334384858044164,0.9789
0.41000000000000003,0.5909090909090909,0.22807017543859648,0.3291139240506329,0.9788
0.42000000000000004,0.6,0.2236842105263158,0.3258785942492013,0.9789
0.43000000000000005,0.6144578313253012,0.2236842105263158,0.3279742765273312,0.9791
0.44000000000000006,0.6144578313253012,0.2236842105263158,0.3279742765273312,0.9791
0.45000000000000007,0.6144578313253012,0.2236842105263158,0.3279742765273312,0.9791
0.45999999999999996,0.6144578313253012,0.2236842105263158,0.3279742765273312,0.9791
0.47,0.6144578313253012,0.2236842105263158,0.3279742765273312,0.9791
0.48,0.6219512195121951,0.2236842105263158,0.32903225806451614,0.9792
0.49,0.6172839506172839,0.21929824561403508,0.32362459546925565,0.9791
0.5,0.625,0.21929824561403508,0.3246753246753247,0.9792
0.51,0.625,0.21929824561403508,0.3246753246753247,0.9792
0.52,0.625,0.21929824561403508,0.3246753246753247,0.9792
0.53,0.625,0.21929824561403508,0.3246753246753247,0.9792
0.54,0.625,0.21929824561403508,0.3246753246753247,0.9792
0.55,0.620253164556962,0.2149122807017544,0.31921824104234525,0.9791
0.56,0.6447368421052632,0.2149122807017544,0.3223684210526316,0.9794
0.5700000000000001,0.6533333333333333,0.2149122807017544,0.3234323432343234,0.9795
0.58,0.6712328767123288,0.2149122807017544,0.32558139534883723,0.9797
0.59,0.6805555555555556,0.2149122807017544,0.32666666666666666,0.9798
0.6,0.7,0.2149122807017544,0.3288590604026846,0.98
0.61,0.7,0.2149122807017544,0.3288590604026846,0.98
0.62,0.6956521739130435,0.21052631578947367,0.32323232323232326,0.9799
0.63,0.7164179104477612,0.21052631578947367,0.3254237288135593,0.9801
0.64,0.7164179104477612,0.21052631578947367,0.3254237288135593,0.9801
0.65,0.7121212121212122,0.20614035087719298,0.3197278911564626,0.98
0.66,0.7230769230769231,0.20614035087719298,0.32081911262798635,0.9801
0.67,0.734375,0.20614035087719298,0.3219178082191781,0.9802
0.6799999999999999,0.734375,0.20614035087719298,0.3219178082191781,0.9802
0.69,0.734375,0.20614035087719298,0.3219178082191781,0.9802
0.7,0.734375,0.20614035087719298,0.3219178082191781,0.9802
0.71,0.7419354838709677,0.20175438596491227,0.31724137931034485,0.9802
0.72,0.7419354838709677,0.20175438596491227,0.31724137931034485,0.9802
0.73,0.7540983606557377,0.20175438596491227,0.31833910034602075,0.9803
0.74,0.7666666666666667,0.20175438596491227,0.3194444444444444,0.9804
0.75,0.7666666666666667,0.20175438596491227,0.3194444444444444,0.9804
0.76,0.7627118644067796,0.19736842105263158,0.313588850174216,0.9803
0.77,0.7627118644067796,0.19736842105263158,0.313588850174216,0.9803
0.78,0.7627118644067796,0.19736842105263158,0.313588850174216,0.9803
0.79,0.7627118644067796,0.19736842105263158,0.313588850174216,0.9803
0.8,0.7627118644067796,0.19736842105263158,0.313588850174216,0.9803
0.8099999999999999,0.7758620689655172,0.19736842105263158,0.3146853146853147,0.9804
0.82,0.7758620689655172,0.19736842105263158,0.3146853146853147,0.9804
