threshold,precision,recall,f1,accuracy
0.1,0.32669322709163345,0.35964912280701755,0.34237995824634654,0.9685
0.11,0.3511111111111111,0.34649122807017546,0.3487858719646799,0.9705
0.12000000000000001,0.36893203883495146,0.3333333333333333,0.35023041474654376,0.9718
0.13,0.38860103626943004,0.32894736842105265,0.35629453681710216,0.9729
0.14,0.3924731182795699,0.3201754385964912,0.3526570048309179,0.9732
0.15000000000000002,0.3977272727272727,0.30701754385964913,0.3465346534653465,0.9736
0.16,0.39759036144578314,0.2894736842105263,0.3350253807106599,0.9738
0.17,0.41830065359477125,0.2807017543859649,0.3359580052493438,0.9747
0.18,0.42857142857142855,0.27631578947368424,0.336,0.9751
0.19,0.44285714285714284,0.2719298245614035,0.33695652173913043,0.9756
0.2,0.45864661654135336,0.2675438596491228,0.3379501385041551,0.9761
0.21000000000000002,0.48,0.2631578947368421,0.33994334277620397,0.9767
0.22,0.4827586206896552,0.24561403508771928,0.32558139534883723,0.9768
0.23,0.5,0.2412280701754386,0.3254437869822485,0.9772
0.24000000000000002,0.5092592592592593,0.2412280701754386,0.3273809523809524,0.9774
0.25,0.514018691588785,0.2412280701754386,0.3283582089552239,0.9775
0.26,0.5188679245283019,0.2412280701754386,0.32934131736526945,0.9776
0.27,0.5247524752475248,0.2324561403508772,0.3221884498480243,0.9777
0.28,0.53,0.2324561403508772,0.3231707317073171,0.9778
0.29000000000000004,0.5360824742268041,0.22807017543859648,0.32,0.9779
0.30000000000000004,0.5591397849462365,0.22807017543859648,0.32398753894080995,0.9783
0.31,0.5652173913043478,0.22807017543859648,0.325,0.9784
0.32,0.5813953488372093,0.21929824561403508,0.3184713375796178,0.9786
0.33,0.5882352941176471,0.21929824561403508,0.3194888178913738,0.9787
0.33999999999999997,0.6024096385542169,0.21929824561403508,0.3215434083601286,0.9789
0.35,0.6024096385542169,0.21929824561403508,0.3215434083601286,0.9789
0.36,0.5975609756097561,0.2149122807017544,0.3161290322580645,0.9788
0.37,0.6049382716049383,0.2149122807017544,0.31715210355987056,0.9789
0.38,0.6049382716049383,0.2149122807017544,0.31715210355987056,0.9789
0.39,0.6075949367088608,0.21052631578947367,0.3127035830618892,0.9789
0.4,0.6133333333333333,0.20175438596491227,0.30363036303630364,0.9789
0.41000000000000003,0.6164383561643836,0.19736842105263158,0.29900332225913623,0.9789
0.42000000000000004,0.6056338028169014,0.18859649122807018,0.28762541806020064,0.9787
0.43000000000000005,0.6086956521739131,0.18421052631578946,0.2828282828282828,0.9787
0.44000000000000006,0.6176470588235294,0.18421052631578946,0.28378378378378377,0.9788
0.45000000000000007,0.6268656716417911,0.18421052631578946,0.2847457627118644,0.9789
0.45999999999999996,0.6268656716417911,0.18421052631578946,0.2847457627118644,0.9789
0.47,0.625,0.17543859649122806,0.273972602739726,0.9788
0.48,0.625,0.17543859649122806,0.273972602739726,0.9788
0.49,0.6190476190476191,0.17105263157894737,0.26804123711340205,0.9787
0.5,0.6190476190476191,0.17105263157894737,0.26804123711340205,0.9787
0.51,0.6190476190476191,0.17105263157894737,0.26804123711340205,0.9787
0.52,0.639344262295082,0.17105263157894737,0.2698961937716263,0.9789
0.53,0.6610169491525424,0.17105263157894737,0.27177700348432055,0.9791
0.54,0.6724137931034483,0.17105263157894737,0.2727272727272727,0.9792
0.55,0.6666666666666666,0.16666666666666666,0.26666666666666666,0.9791
0.56,0.6607142857142857,0.16228070175438597,0.2605633802816901,0.979
0.5700000000000001,0.6607142857142857,0.16228070175438597,0.2605633802816901,0.979
0.58,0.6607142857142857,0.16228070175438597,0.2605633802816901,0.979
0.59,0.6607142857142857,0.16228070175438597,0.2605633802816901,0.979
0.6,0.6727272727272727,0.16228070175438597,0.26148409893992935,0.9791
0.61,0.6851851851851852,0.16228070175438597,0.2624113475177305,0.9792
0.62,0.6851851851851852,0.16228070175438597,0.2624113475177305,0.9792
0.63,0.6851851851851852,0.16228070175438597,0.2624113475177305,0.9792
0.64,0.6792452830188679,0.15789473684210525,0.25622775800711745,0.9791
0.65,0.6792452830188679,0.15789473684210525,0.25622775800711745,0.9791
0.66,0.6792452830188679,0.15789473684210525,0.25622775800711745,0.9791
0.67,0.6792452830188679,0.15789473684210525,0.25622775800711745,0.9791
0.6799999999999999,0.6923076923076923,0.15789473684210525,0.2571428571428571,0.9792
0.69,0.6862745098039216,0.15350877192982457,0.25089605734767023,0.9791
0.7,0.6862745098039216,0.15350877192982457,0.25089605734767023,0.9791
0.71,0.6862745098039216,0.15350877192982457,0.25089605734767023,0.9791
0.72,0.6875,0.14473684210526316,0.2391304347826087,0.979
0.73,0.6888888888888889,0.13596491228070176,0.2271062271062271,0.9789
0.74,0.6818181818181818,0.13157894736842105,0.22058823529411764,0.9788
0.75,0.6818181818181818,0.13157894736842105,0.22058823529411764,0.9788
0.76,0.6904761904761905,0.12719298245614036,0.21481481481481482,0.9788
0.77,0.675,0.11842105263157894,0.20149253731343283,0.9786
0.78,0.675,0.11842105263157894,0.20149253731343283,0.9786
0.79,0.6666666666666666,0.11403508771929824,0.1947565543071161,0.9785
0.8,0.6578947368421053,0.10964912280701754,0.18796992481203006,0.9784
0.8099999999999999,0.6666666666666666,0.10526315789473684,0.18181818181818182,0.9784
0.82,0.6666666666666666,0.10526315789473684,0.18181818181818182,0.9784
0.83,0.6666666666666666,0.10526315789473684,0.18181818181818182,0.9784
0.84,0.6666666666666666,0.10526315789473684,0.18181818181818182,0.9784
0.85,0.6666666666666666,0.10526315789473684,0.18181818181818182,0.9784
0.86,0.6857142857142857,0.10526315789473684,0.18250950570342206,0.9785
0.87,0.7058823529411765,0.10526315789473684,0.183206106870229,0.9786
0.88,0.7058823529411765,0.10526315789473684,0.183206106870229,0.9786
0.89,0.696969696969697,0.10087719298245613,0.17624521072796934,0.9785
0.9,0.7096774193548387,0.09649122807017543,0.16988416988416988,0.9785
0.91,0.7586206896551724,0.09649122807017543,0.17120622568093385,0.9787
0.92,0.75,0.09210526315789473,0.1640625,0.9786
0.93,0.7777777777777778,0.09210526315789473,0.16470588235294117,0.9787
0.94,0.8,0.08771929824561403,0.15810276679841898,0.9787
0.95,0.7916666666666666,0.08333333333333333,0.15079365079365079,0.9786
0.96,0.8260869565217391,0.08333333333333333,0.15139442231075698,0.9787
0.97,0.8636363636363636,0.08333333333333333,0.152,0.9788
0.98,0.9473684210526315,0.07894736842105263,0.145748987854251,0.9789
0.99,1.0,0.06578947368421052,0.12345679012345678,0.9787
