threshold,precision,recall,f1,accuracy
0.01,0.022809123649459785,1.0,0.04460093896713615,0.0232
0.015,0.022811405702851426,1.0,0.04460530177051746,0.0233
0.02,0.022827392871445733,1.0,0.04463586530931871,0.024
0.025,0.0228434024646829,1.0,0.044666470761093154,0.0247
0.03,0.02285943452977742,1.0,0.04469711821211527,0.0254
0.035,0.022870899789346977,1.0,0.04471903501029715,0.0259
0.04,0.0228892681457685,1.0,0.044754146628717247,0.0267
0.045000000000000005,0.022903063787041687,1.0,0.04478051654718649,0.0273
0.05,0.022919179734620022,1.0,0.04481132075471698,0.028
0.055,0.022937625754527163,1.0,0.044846577498033044,0.0288
0.060000000000000005,0.022956101490132903,1.0,0.04488188976377953,0.0296
0.065,0.022983870967741935,1.0,0.04493496255419787,0.0308
0.06999999999999999,0.023041940373926224,1.0,0.04504593499950608,0.0333
0.075,0.02307458759234895,1.0,0.04510831931941834,0.0347
0.08,0.023149558330795003,1.0,0.045251562965168204,0.0379
0.08499999999999999,0.02309962348631322,0.9956140350877193,0.0451516658378916,0.0399
0.09,0.02314909239241281,0.9956140350877193,0.045246163045644806,0.042
0.095,0.0231131110656576,0.9912280701754386,0.045172896262242655,0.0446
0.09999999999999999,0.023177110039995896,0.9912280701754386,0.045295119751478104,0.0473
0.105,0.023145766896409833,0.9868421052631579,0.04523067644989446,0.0501
0.11,0.023138105567606652,0.9824561403508771,0.045211423958017964,0.0539
0.11499999999999999,0.023250986090927964,0.9824561403508771,0.04542689109714054,0.0586
0.12,0.02337716551868086,0.9824561403508771,0.04566768603465851,0.0638
0.125,0.023539302227826818,0.9824561403508771,0.04597701149425287,0.0704
0.13,0.023642917726887192,0.9780701754385965,0.04616977225672878,0.0786
0.135,0.023834972210346302,0.9780701754385965,0.046535893155258766,0.0862
0.14,0.023914682753420232,0.9736842105263158,0.0466827883503312,0.0933
0.14500000000000002,0.023952095808383235,0.9649122807017544,0.04674386486773611,0.1027
0.15000000000000002,0.023991155334438918,0.9517543859649122,0.04680254502318559,0.1161
0.155,0.02413560844185002,0.9429824561403509,0.04706654991243433,0.1294
0.16,0.023964395754878465,0.9210526315789473,0.04671338004671338,0.1429
0.165,0.024200116346713204,0.9122807017543859,0.04714949563640485,0.1593
0.17,0.02452217814641183,0.8947368421052632,0.04773604773604773,0.1861
0.17500000000000002,0.025362318840579712,0.8903508771929824,0.04931972789115646,0.2174
